4305,4549,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča ter ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Luke Mesca v zvezi z možnostmi poteka trase tretje razvojne osi čez Zasavje in Prebold. ),24. redna seja,,,,,,,,,,,,,,,,
4306,4550,Predlog sklepa (razprava o odgovoru ministra za javno upravo Borisa Koprivnikarja na poslansko vprašanje Violete Tomić v zvezi z anomalijami v sistemu plač v javnem sektorju.),24. redna seja,,,,,,,,,,,,,,,,
4307,4551,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Mihe Kordiša v zvezi z deregulacijo cen naftnih derivatov. ),24. redna seja,,,,,,,,,,,,,,,,
4309,4553,Predlog sklepa (razprava o odgovoru ministrice za zdravje Milojke Kolar Celarc na poslansko vprašanje Luke Mesca v zvezi s problematiko razpisovanja in odobravanja specializacij zdravnikov. ),24. redna seja,,,,,,,,,,,,,,,,
4310,4554,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Violete Tomić v zvezi s simboli sodelavcev okupatorja pri prekopu žrtev iz Barbarinega rova.)|,24. redna seja,,,,,,,,,,,,,,
4311,4555,Predlog sklepa (razprava o odgovoru ministra za kulturo Antona Peršaka na poslansko vprašanje Ljudmile Novak v zvezi z nedavnim obiskom ministra za kulturo na Dunaju.),24. redna seja,,,,,,,,,,,,,,,,
4312,4556,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Ljuba Žnidarja v zvezi s projektom 3. razvojne osi.),24. redna seja,,,,,,,,,,,,,,,,
4313,4557,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Tomaža Lisca v zvezi z izgradnjo hidroelektrarn na Spodnji Savi.),24. redna seja,,,,,,,,,,,,,,,,
4314,4558,Predlog sklepa (razprava o odgovoru ministrice za finance mag. Mateje Vraničar Erman na poslansko vprašanje mag. Andreja Širclja v zvezi z zaustavitvijo izvrševanja državnega proračuna za leto 2016.),24. redna seja,,,,,,,,,,,,,,,,
4315,4559,|Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Mihe Kordiša v zvezi s postopkom izdaje okoljevarstvenega soglasja družbi EKOLOGIJA,podjetje za zbiranje in predelavo sekundarnih surovin,d.o.o.)|,24. redna seja,,,,,,,,,,,,,,
4316,4560,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Branka Grimsa v zvezi s parlamentarnim nadzorom obveščevalnih in varnostnih služb.),24. redna seja,,,,,,,,,,,,,,,,
4318,4562,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Jožefa Horvata v zvezi z odgovornostjo Vlade za vzpostavitev pravne podlage za uspešno delovanje organov pregona in sojenja pri iskanju odgovornosti za bančni kriminal.),24. redna seja,,,,,,,,,,,,,,,,
4319,4563,|Sklep o spremembah Sklepa o sestavi in imenovanju predsednika,podpredsednika,članov in namestnikov članov Preiskovalne komisije o ugotavljanju zlorab v slovenskem bančnem sistemu ter ugotavljanju vzrokov in odgovornosti za že drugo sanacijo bančnega sistema v samostojni Sloveniji - Glasovanje|,24. redna seja,,,,,,,,,,,,,,
4320,4564,Sklep o imenovanju predsednika in članov Državne volilne komisije ter njihovih namestnikov - Glasovanje,24. redna seja,,,,,,,,,,,,,,,,
4322,4566,Proceduralni predlog (pridobitev magnetograma seje Mandatno volilne komisije - nesprejet),24. redna seja,,,,,,,,,,,,,,,,
6505,6749,Zakon o lekarniški dejavnosti - Amandma: K 39. členu 6.12.2016 [ZL - Poslanska skupina Združena levica],25. redna seja,,,,,,,,,,,,,,,,
4368,4612,Proračun Republike Slovenije za leto 2018 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 9.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke],24. redna seja,,,,,,,,,,,,,,,,
4367,4611,Proračun Republike Slovenije za leto 2018 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 9.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke],24. redna seja,,,,,,,,,,,,,,,,
4366,4610,Proračun Republike Slovenije za leto 2018 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 9.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke],24. redna seja,,,,,,,,,,,,,,,,
4370,4614,Proračun Republike Slovenije za leto 2018 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 9.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke],24. redna seja,,,,,,,,,,,,,,,,
4372,4616,|Proračun Republike Slovenije za leto 2018 - Amandma: 2330 Ministrstvo za kmetijstvo,gozdarstvo in prehrano (110302) 9.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke]|,24. redna seja,,,,,,,,,,,,,,,
4937,5181,Predlog za imenovanje člana sveta Javne agencije RS za varstvo konkurence - Glasovanje,16. redna seja,,,,,,,,,,,,,,,,
4385,4629,Proceduralni predlog (nadaljevanje z glasovanji),24. redna seja,,,,,,,,,,,,,,,,
4391,4635,Proceduralni predlog za zaključitev seje,24. redna seja,,,,,,,,,,,,,,,,
4451,4695,|Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2330 Ministrstvo za kmetijstvo,gozdarstvo in prehrano (110302) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 2)|,24. redna seja,,,,,,,,,,,,,,,
4443,4687,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 4),24. redna seja,,,,,,,,,,,,,,,,
4441,4685,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 5),24. redna seja,,,,,,,,,,,,,,,,
4439,4683,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 6),24. redna seja,,,,,,,,,,,,,,,,
4437,4681,Spremembe Proračuna Republike Slovenije za leto 2017 - Amandma: 2431 Direkcija Republike Slovenije za infrastrukturo (130202) 11.11.2016 [SDS - Poslanska skupina Slovenske demokratske stranke] (pod številko 7),24. redna seja,,,,,,,,,,,,,,,,
